    7.6998 MB /   1.00 sec =   64.5891 Mbps     0 / 63077 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4970 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4920 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4947 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4960 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4961 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4945 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4981 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4935 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4925 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4945 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4952 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6888 MB /   1.00 sec =   64.4985 Mbps     0 / 62987 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4955 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4947 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4954 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4921 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4981 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6879 MB /   1.00 sec =   64.4911 Mbps     0 / 62979 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4957 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4946 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4968 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4963 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4930 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4955 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4933 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4950 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4956 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4954 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4958 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4943 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4959 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4941 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4935 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4951 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6890 MB /   1.00 sec =   64.5000 Mbps     0 / 62988 ~drop/pkt  0.00 ~%loss
    7.6880 MB /   1.00 sec =   64.4904 Mbps     0 / 62980 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4966 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4950 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4945 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4981 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4909 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4945 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4945 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6888 MB /   1.00 sec =   64.4999 Mbps     0 / 62987 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4926 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4934 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4955 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4943 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4982 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4925 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4954 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4969 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4933 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4927 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6888 MB /   1.00 sec =   64.4998 Mbps     0 / 62987 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4922 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4979 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4945 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4958 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss

  461.3280 MB /  60.00 sec =   64.4966 Mbps 26 %TX 24 %RX 0 / 3779199 drop/pkt 0.00 %loss
