   10.4761 MB /   1.00 sec =   87.8774 Mbps     0 / 21455 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7640 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7659 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7652 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7679 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7658 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7643 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7701 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7641 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7700 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7595 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7699 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7696 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7650 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7639 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7650 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7702 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7632 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7715 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7644 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7649 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7692 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7638 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7661 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7655 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7674 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7665 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7686 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7690 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7605 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7646 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7701 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7681 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4619 MB /   1.00 sec =   87.7609 Mbps     0 / 21426 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7701 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4585 MB /   1.00 sec =   87.7328 Mbps     0 / 21419 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7633 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7663 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7654 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7685 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
   10.4624 MB /   1.00 sec =   87.7646 Mbps     0 / 21427 ~drop/pkt  0.00 ~%loss
   10.4629 MB /   1.00 sec =   87.7686 Mbps     0 / 21428 ~drop/pkt  0.00 ~%loss
