    9.3538 MB /   1.00 sec =   78.4619 Mbps     0 / 38313 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3474 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3415 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3439 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3422 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3454 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3409 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3437 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3429 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3438 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3436 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3469 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3399 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3468 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3429 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3462 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3422 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3411 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3423 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3469 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3410 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3425 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3442 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3460 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3455 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3421 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3465 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3418 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3399 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3455 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3433 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3398 MB /   1.00 sec =   78.3487 Mbps     0 / 38256 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3397 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3404 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3483 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3404 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3428 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3460 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3432 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3462 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3389 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3444 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3473 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3386 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3454 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3451 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3405 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3436 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3454 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3442 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3408 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3455 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3443 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3391 MB /   1.00 sec =   78.3424 Mbps     0 / 38253 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3461 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss
    9.3389 MB /   1.00 sec =   78.3398 Mbps     0 / 38252 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3433 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3454 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3394 MB /   1.00 sec =   78.3443 Mbps     0 / 38254 ~drop/pkt  0.00 ~%loss
    9.3396 MB /   1.00 sec =   78.3460 Mbps     0 / 38255 ~drop/pkt  0.00 ~%loss

  560.3853 MB /  60.00 sec =   78.3456 Mbps 24 %TX 17 %RX 0 / 2295338 drop/pkt 0.00 %loss
