    7.8745 MB /   1.00 sec =   66.0530 Mbps     0 / 64508 ~drop/pkt  0.00 ~%loss
    7.8651 MB /   1.00 sec =   65.9756 Mbps     0 / 64431 ~drop/pkt  0.00 ~%loss
    7.8657 MB /   1.00 sec =   65.9864 Mbps     0 / 64436 ~drop/pkt  0.00 ~%loss
    7.8651 MB /   1.00 sec =   65.9769 Mbps     0 / 64431 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9814 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9789 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8643 MB /   1.00 sec =   65.9679 Mbps     0 / 64424 ~drop/pkt  0.00 ~%loss
    7.8661 MB /   1.00 sec =   65.9878 Mbps     0 / 64439 ~drop/pkt  0.00 ~%loss
    7.8654 MB /   1.00 sec =   65.9795 Mbps     0 / 64433 ~drop/pkt  0.00 ~%loss
    7.8641 MB /   1.00 sec =   65.9672 Mbps     0 / 64423 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9831 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8649 MB /   1.00 sec =   65.9722 Mbps     0 / 64429 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9843 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9747 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9809 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8654 MB /   1.00 sec =   65.9794 Mbps     0 / 64433 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9814 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8654 MB /   1.00 sec =   65.9795 Mbps     0 / 64433 ~drop/pkt  0.00 ~%loss
    7.8649 MB /   1.00 sec =   65.9753 Mbps     0 / 64429 ~drop/pkt  0.00 ~%loss
    7.8641 MB /   1.00 sec =   65.9686 Mbps     0 / 64423 ~drop/pkt  0.00 ~%loss
    7.8662 MB /   1.00 sec =   65.9871 Mbps     0 / 64440 ~drop/pkt  0.00 ~%loss
    7.8640 MB /   1.00 sec =   65.9686 Mbps     0 / 64422 ~drop/pkt  0.00 ~%loss
    7.8662 MB /   1.00 sec =   65.9862 Mbps     0 / 64440 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9747 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8646 MB /   1.00 sec =   65.9713 Mbps     0 / 64427 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9834 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8657 MB /   1.00 sec =   65.9826 Mbps     0 / 64436 ~drop/pkt  0.00 ~%loss
    7.8650 MB /   1.00 sec =   65.9759 Mbps     0 / 64430 ~drop/pkt  0.00 ~%loss
    7.8645 MB /   1.00 sec =   65.9701 Mbps     0 / 64426 ~drop/pkt  0.00 ~%loss
    7.8655 MB /   1.00 sec =   65.9831 Mbps     0 / 64434 ~drop/pkt  0.00 ~%loss
    7.8651 MB /   1.00 sec =   65.9768 Mbps     0 / 64431 ~drop/pkt  0.00 ~%loss
    7.8662 MB /   1.00 sec =   65.9866 Mbps     0 / 64440 ~drop/pkt  0.00 ~%loss
    7.8645 MB /   1.00 sec =   65.9722 Mbps     0 / 64426 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9784 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8655 MB /   1.00 sec =   65.9804 Mbps     0 / 64434 ~drop/pkt  0.00 ~%loss
    7.8649 MB /   1.00 sec =   65.9757 Mbps     0 / 64429 ~drop/pkt  0.00 ~%loss
    7.8655 MB /   1.00 sec =   65.9801 Mbps     0 / 64434 ~drop/pkt  0.00 ~%loss
