   10.5693 MB /   1.00 sec =   88.6597 Mbps     0 / 21646 ~drop/pkt  0.00 ~%loss
   10.5498 MB /   1.00 sec =   88.4962 Mbps     0 / 21606 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5861 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5781 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5822 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5843 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5685 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5835 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5843 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5708 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5704 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5620 MB /   1.00 sec =   88.6031 Mbps     0 / 21631 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5760 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5654 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5948 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5802 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5758 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5801 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5767 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5835 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5721 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5886 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5576 MB /   1.00 sec =   88.5624 Mbps     0 / 21622 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5811 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5726 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5615 MB /   1.00 sec =   88.5957 Mbps     0 / 21630 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5844 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5803 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5571 MB /   1.00 sec =   88.5602 Mbps     0 / 21621 ~drop/pkt  0.00 ~%loss
   10.5615 MB /   1.00 sec =   88.5956 Mbps     0 / 21630 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5763 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5888 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5754 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5764 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5675 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5615 MB /   1.00 sec =   88.5961 Mbps     0 / 21630 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5761 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5801 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5659 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5820 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5931 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5719 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5835 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5801 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5678 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5925 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5719 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5842 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5576 MB /   1.00 sec =   88.5642 Mbps     0 / 21622 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5809 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5909 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5801 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5802 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5719 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5774 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5767 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5731 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5938 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5851 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5700 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss

  633.6191 MB /  60.00 sec =   88.5792 Mbps 8 %TX 17 %RX 0 / 1297652 drop/pkt 0.00 %loss
