   11.1455 MB /   1.00 sec =   93.4935 Mbps     0 / 11413 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3805 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3808 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3887 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3826 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3805 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3802 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3892 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3804 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3809 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3805 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3888 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3805 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3887 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3786 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3810 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3796 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3897 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3808 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1230 MB /   1.00 sec =   93.2926 Mbps     0 / 11390 ~drop/pkt  0.00 ~%loss
   11.1416 MB /   1.00 sec =   93.4765 Mbps     0 / 11409 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3716 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3885 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3819 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3801 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3809 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3808 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3796 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3899 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1270 MB /   1.00 sec =   93.3295 Mbps     0 / 11394 ~drop/pkt  0.00 ~%loss
   11.1377 MB /   1.00 sec =   93.4398 Mbps     0 / 11405 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3714 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3884 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3819 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3888 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3796 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3802 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3828 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3797 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3808 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3888 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3796 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3816 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3889 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3721 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3795 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3887 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3818 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss

  667.9746 MB /  60.00 sec =   93.3841 Mbps 15 %TX 7 %RX 0 / 684006 drop/pkt 0.00 %loss
