   10.9277 MB /   1.00 sec =   91.6658 Mbps     0 /  7639 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7031 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6929 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6921 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7040 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6919 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6906 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7054 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6911 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7037 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6932 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6922 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7030 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6928 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6919 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7048 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6912 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6908 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7053 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6923 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7023 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6934 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6921 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7027 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6932 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6921 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7046 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6914 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6905 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
   10.9320 MB /   1.00 sec =   91.7055 Mbps     0 /  7642 ~drop/pkt  0.00 ~%loss
   10.9305 MB /   1.00 sec =   91.6918 Mbps     0 /  7641 ~drop/pkt  0.00 ~%loss
