   10.5522 MB /   1.00 sec =   88.5166 Mbps     0 / 21611 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5683 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5768 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5813 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5800 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5858 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5761 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5801 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5797 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5692 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5870 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5804 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5779 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5798 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5825 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5883 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5717 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5837 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5853 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5673 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5723 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5811 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5615 MB /   1.00 sec =   88.5990 Mbps     0 / 21630 ~drop/pkt  0.00 ~%loss
   10.5566 MB /   1.00 sec =   88.5561 Mbps     0 / 21620 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5878 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5557 MB /   1.00 sec =   88.5472 Mbps     0 / 21618 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5808 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5795 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5759 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5694 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5763 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5950 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5799 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5802 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5674 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5929 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5760 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5801 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5760 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5726 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5753 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5774 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5785 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5605 MB /   1.00 sec =   88.5885 Mbps     0 / 21628 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5801 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5757 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5924 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5761 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5670 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5782 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss
   10.5610 MB /   1.00 sec =   88.5951 Mbps     0 / 21629 ~drop/pkt  0.00 ~%loss
   10.5591 MB /   1.00 sec =   88.5764 Mbps     0 / 21625 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5691 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5865 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5841 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5581 MB /   1.00 sec =   88.5664 Mbps     0 / 21623 ~drop/pkt  0.00 ~%loss
   10.5586 MB /   1.00 sec =   88.5712 Mbps     0 / 21624 ~drop/pkt  0.00 ~%loss
   10.5601 MB /   1.00 sec =   88.5872 Mbps     0 / 21627 ~drop/pkt  0.00 ~%loss
   10.5615 MB /   1.00 sec =   88.5975 Mbps     0 / 21630 ~drop/pkt  0.00 ~%loss
   10.5596 MB /   1.00 sec =   88.5783 Mbps     0 / 21626 ~drop/pkt  0.00 ~%loss

  633.6167 MB /  60.01 sec =   88.5777 Mbps 4 %TX 16 %RX 0 / 1297647 drop/pkt 0.00 %loss
