   11.1299 MB /   1.00 sec =   93.3618 Mbps     0 / 11397 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3888 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3805 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3888 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3714 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3885 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3820 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3796 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3897 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3800 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3801 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3812 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1270 MB /   1.00 sec =   93.3312 Mbps     0 / 11394 ~drop/pkt  0.00 ~%loss
   11.1367 MB /   1.00 sec =   93.4305 Mbps     0 / 11404 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3889 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3803 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3808 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3886 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3715 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3804 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3899 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3811 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3802 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3888 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3714 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3897 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3803 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1230 MB /   1.00 sec =   93.2931 Mbps     0 / 11390 ~drop/pkt  0.00 ~%loss
   11.1416 MB /   1.00 sec =   93.4767 Mbps     0 / 11409 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3724 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3794 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
