    7.8672 MB /   1.00 sec =   65.9906 Mbps     0 / 64448 ~drop/pkt  0.00 ~%loss
    7.8662 MB /   1.00 sec =   65.9894 Mbps     0 / 64440 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9743 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9716 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9815 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9811 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8645 MB /   1.00 sec =   65.9708 Mbps     0 / 64426 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9829 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8658 MB /   1.00 sec =   65.9834 Mbps     0 / 64437 ~drop/pkt  0.00 ~%loss
    7.8643 MB /   1.00 sec =   65.9669 Mbps     0 / 64424 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9846 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9716 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8657 MB /   1.00 sec =   65.9854 Mbps     0 / 64436 ~drop/pkt  0.00 ~%loss
    7.8644 MB /   1.00 sec =   65.9710 Mbps     0 / 64425 ~drop/pkt  0.00 ~%loss
    7.8666 MB /   1.00 sec =   65.9896 Mbps     0 / 64443 ~drop/pkt  0.00 ~%loss
    7.8649 MB /   1.00 sec =   65.9754 Mbps     0 / 64429 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9783 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8647 MB /   1.00 sec =   65.9743 Mbps     0 / 64428 ~drop/pkt  0.00 ~%loss
    7.8649 MB /   1.00 sec =   65.9723 Mbps     0 / 64429 ~drop/pkt  0.00 ~%loss
    7.8660 MB /   1.00 sec =   65.9877 Mbps     0 / 64438 ~drop/pkt  0.00 ~%loss
    7.8650 MB /   1.00 sec =   65.9763 Mbps     0 / 64430 ~drop/pkt  0.00 ~%loss
    7.8644 MB /   1.00 sec =   65.9702 Mbps     0 / 64425 ~drop/pkt  0.00 ~%loss
    7.8656 MB /   1.00 sec =   65.9824 Mbps     0 / 64435 ~drop/pkt  0.00 ~%loss
    7.8652 MB /   1.00 sec =   65.9785 Mbps     0 / 64432 ~drop/pkt  0.00 ~%loss
    7.8646 MB /   1.00 sec =   65.9729 Mbps     0 / 64427 ~drop/pkt  0.00 ~%loss
