    7.6915 MB /   1.00 sec =   64.5195 Mbps     0 / 63009 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4947 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6880 MB /   1.00 sec =   64.4919 Mbps     0 / 62980 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4957 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4971 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4927 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4965 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4947 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4925 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6890 MB /   1.00 sec =   64.4998 Mbps     0 / 62988 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4921 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4951 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4954 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4943 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4937 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4956 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4943 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6888 MB /   1.00 sec =   64.4983 Mbps     0 / 62987 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4967 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4923 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4946 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4958 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4927 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6888 MB /   1.00 sec =   64.4986 Mbps     0 / 62987 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4931 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4941 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4964 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4943 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4948 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4980 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4934 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4972 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4909 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4954 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4955 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6888 MB /   1.00 sec =   64.4982 Mbps     0 / 62987 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4930 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6880 MB /   1.00 sec =   64.4926 Mbps     0 / 62980 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4961 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4945 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4952 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4962 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4923 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4946 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4962 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4948 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4960 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4967 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4925 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4945 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4956 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4942 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4958 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6888 MB /   1.00 sec =   64.4997 Mbps     0 / 62987 ~drop/pkt  0.00 ~%loss
    7.6880 MB /   1.00 sec =   64.4913 Mbps     0 / 62980 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4974 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4922 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4969 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4922 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4945 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss

  461.3273 MB /  60.00 sec =   64.4954 Mbps 25 %TX 24 %RX 0 / 3779193 drop/pkt 0.00 %loss
