    3.7274 MB /   1.00 sec =   31.2666 Mbps     0 / 122141 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2992 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2989 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7308 MB /   1.00 sec =   31.2967 Mbps     0 / 122252 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2989 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7297 MB /   1.00 sec =   31.2869 Mbps     0 / 122214 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2989 Mbps     0 / 122261 ~drop/pkt  0.00 ~%loss
    3.7312 MB /   1.00 sec =   31.2991 Mbps     0 / 122263 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122261 ~drop/pkt  0.00 ~%loss
    3.7312 MB /   1.00 sec =   31.2991 Mbps     0 / 122263 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2992 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2989 Mbps     0 / 122261 ~drop/pkt  0.00 ~%loss
    3.7312 MB /   1.00 sec =   31.2992 Mbps     0 / 122264 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122261 ~drop/pkt  0.00 ~%loss
    3.7310 MB /   1.00 sec =   31.2991 Mbps     0 / 122257 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2992 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2989 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122261 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7310 MB /   1.00 sec =   31.2979 Mbps     0 / 122258 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7308 MB /   1.00 sec =   31.2961 Mbps     0 / 122250 ~drop/pkt  0.00 ~%loss
    3.7304 MB /   1.00 sec =   31.2931 Mbps     0 / 122239 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7300 MB /   1.00 sec =   31.2893 Mbps     0 / 122224 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2992 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7307 MB /   1.00 sec =   31.2955 Mbps     0 / 122248 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7307 MB /   1.00 sec =   31.2951 Mbps     0 / 122247 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7308 MB /   1.00 sec =   31.2963 Mbps     0 / 122251 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7310 MB /   1.00 sec =   31.2981 Mbps     0 / 122258 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7310 MB /   1.00 sec =   31.2978 Mbps     0 / 122257 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss

  223.8652 MB /  60.00 sec =   31.2977 Mbps 37 %TX 18 %RX 0 / 7335615 drop/pkt 0.00 %loss
