   11.1416 MB /   1.00 sec =   93.4588 Mbps     0 / 11409 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3809 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3898 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3724 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1270 MB /   1.00 sec =   93.3302 Mbps     0 / 11394 ~drop/pkt  0.00 ~%loss
   11.1377 MB /   1.00 sec =   93.4392 Mbps     0 / 11405 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3888 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3715 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3802 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3893 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3814 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3808 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3886 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3798 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3818 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3809 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3800 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1240 MB /   1.00 sec =   93.2999 Mbps     0 / 11391 ~drop/pkt  0.00 ~%loss
   11.1396 MB /   1.00 sec =   93.4603 Mbps     0 / 11407 ~drop/pkt  0.00 ~%loss
   11.1338 MB /   1.00 sec =   93.3967 Mbps     0 / 11401 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3738 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3888 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1309 MB /   1.00 sec =   93.3725 Mbps     0 / 11398 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3878 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3803 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3818 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3890 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3799 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3800 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3812 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3814 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3804 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3889 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3809 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3811 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3815 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3887 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3800 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3893 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3807 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3805 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
   11.1328 MB /   1.00 sec =   93.3888 Mbps     0 / 11400 ~drop/pkt  0.00 ~%loss
   11.1318 MB /   1.00 sec =   93.3806 Mbps     0 / 11399 ~drop/pkt  0.00 ~%loss
