    5.8771 MB /   1.00 sec =   49.2997 Mbps     0 / 96290 ~drop/pkt  0.00 ~%loss
    5.8685 MB /   1.00 sec =   49.2288 Mbps     0 / 96150 ~drop/pkt  0.00 ~%loss
    5.8685 MB /   1.00 sec =   49.2283 Mbps     0 / 96149 ~drop/pkt  0.00 ~%loss
    5.8680 MB /   1.00 sec =   49.2244 Mbps     0 / 96141 ~drop/pkt  0.00 ~%loss
    5.8696 MB /   1.00 sec =   49.2378 Mbps     0 / 96168 ~drop/pkt  0.00 ~%loss
    5.8677 MB /   1.00 sec =   49.2224 Mbps     0 / 96137 ~drop/pkt  0.00 ~%loss
    5.8695 MB /   1.00 sec =   49.2368 Mbps     0 / 96166 ~drop/pkt  0.00 ~%loss
    5.8679 MB /   1.00 sec =   49.2215 Mbps     0 / 96140 ~drop/pkt  0.00 ~%loss
    5.8687 MB /   1.00 sec =   49.2295 Mbps     0 / 96152 ~drop/pkt  0.00 ~%loss
    5.8693 MB /   1.00 sec =   49.2379 Mbps     0 / 96163 ~drop/pkt  0.00 ~%loss
    5.8686 MB /   1.00 sec =   49.2294 Mbps     0 / 96151 ~drop/pkt  0.00 ~%loss
    5.8686 MB /   1.00 sec =   49.2293 Mbps     0 / 96151 ~drop/pkt  0.00 ~%loss
    5.8689 MB /   1.00 sec =   49.2320 Mbps     0 / 96156 ~drop/pkt  0.00 ~%loss
    5.8683 MB /   1.00 sec =   49.2275 Mbps     0 / 96147 ~drop/pkt  0.00 ~%loss
    5.8683 MB /   1.00 sec =   49.2270 Mbps     0 / 96147 ~drop/pkt  0.00 ~%loss
    5.8690 MB /   1.00 sec =   49.2325 Mbps     0 / 96157 ~drop/pkt  0.00 ~%loss
    5.8685 MB /   1.00 sec =   49.2283 Mbps     0 / 96149 ~drop/pkt  0.00 ~%loss
    5.8683 MB /   1.00 sec =   49.2272 Mbps     0 / 96147 ~drop/pkt  0.00 ~%loss
    5.8685 MB /   1.00 sec =   49.2288 Mbps     0 / 96150 ~drop/pkt  0.00 ~%loss
    5.8683 MB /   1.00 sec =   49.2275 Mbps     0 / 96147 ~drop/pkt  0.00 ~%loss
    5.8696 MB /   1.00 sec =   49.2373 Mbps     0 / 96167 ~drop/pkt  0.00 ~%loss
    5.8685 MB /   1.00 sec =   49.2288 Mbps     0 / 96150 ~drop/pkt  0.00 ~%loss
    5.8678 MB /   1.00 sec =   49.2218 Mbps     0 / 96138 ~drop/pkt  0.00 ~%loss
    5.8692 MB /   1.00 sec =   49.2355 Mbps     0 / 96161 ~drop/pkt  0.00 ~%loss
    5.8682 MB /   1.00 sec =   49.2235 Mbps     0 / 96144 ~drop/pkt  0.00 ~%loss
    5.8686 MB /   1.00 sec =   49.2289 Mbps     0 / 96151 ~drop/pkt  0.00 ~%loss
    5.8695 MB /   1.00 sec =   49.2397 Mbps     0 / 96166 ~drop/pkt  0.00 ~%loss
    5.8687 MB /   1.00 sec =   49.2296 Mbps     0 / 96152 ~drop/pkt  0.00 ~%loss
