    3.7274 MB /   1.00 sec =   31.2670 Mbps     0 / 122139 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2993 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2993 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2988 Mbps     0 / 122261 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122261 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7299 MB /   1.00 sec =   31.2886 Mbps     0 / 122221 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
    3.7310 MB /   1.00 sec =   31.2982 Mbps     0 / 122259 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2990 Mbps     0 / 122261 ~drop/pkt  0.00 ~%loss
    3.7311 MB /   1.00 sec =   31.2991 Mbps     0 / 122262 ~drop/pkt  0.00 ~%loss
