    7.7007 MB /   1.00 sec =   64.5951 Mbps     0 / 63084 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4982 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4946 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4935 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4946 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4976 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4937 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4946 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4927 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6888 MB /   1.00 sec =   64.4989 Mbps     0 / 62987 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4954 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4929 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4943 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4976 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4931 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4936 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4982 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6880 MB /   1.00 sec =   64.4916 Mbps     0 / 62980 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4959 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4962 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4965 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4921 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4949 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4979 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4933 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4984 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4920 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4968 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4955 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4936 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4926 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4965 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4949 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4949 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4938 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4972 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4935 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4974 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4914 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4988 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4932 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4940 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4954 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4952 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4975 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4925 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4952 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6886 MB /   1.00 sec =   64.4964 Mbps     0 / 62985 ~drop/pkt  0.00 ~%loss
    7.6882 MB /   1.00 sec =   64.4931 Mbps     0 / 62982 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4933 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6888 MB /   1.00 sec =   64.5000 Mbps     0 / 62987 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4956 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
    7.6881 MB /   1.00 sec =   64.4916 Mbps     0 / 62981 ~drop/pkt  0.00 ~%loss
    7.6884 MB /   1.00 sec =   64.4949 Mbps     0 / 62983 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4985 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6880 MB /   1.00 sec =   64.4900 Mbps     0 / 62980 ~drop/pkt  0.00 ~%loss
    7.6887 MB /   1.00 sec =   64.4990 Mbps     0 / 62986 ~drop/pkt  0.00 ~%loss
    7.6885 MB /   1.00 sec =   64.4957 Mbps     0 / 62984 ~drop/pkt  0.00 ~%loss
